Time,Symb,Status,Side,Qty,Open,Price,Type
09:36:04,KSS,Executed,B,21,0,19.88,L
09:36:04,KSS,Closed,B,21,21,19.88,L
09:37:10,CCL,Executed,B,16,0,14.04,L
09:37:10,CCL,Closed,B,16,16,14.04,L
09:37:17,KSS,Executed,S,10,0,20.18,L
09:37:17,KSS,Closed,S,10,10,20.18,L
09:37:17,KSS,Canceled,S,21,0,0,SM:19.64
09:42:38,CCL,Executed,B,28,0,14.1,L.TN
09:42:38,CCL,Closed,B,28,28,14.1,L
09:43:01,KSS,Executed,B,12,0,20.3,L
09:43:01,KSS,Closed,B,12,12,20.3,L
09:44:55,KSS,Executed,S,11,0,20.55,L
09:44:55,KSS,Closed,S,11,11,20.55,L
09:44:55,KSS,Canceled,S,23,0,0,SM:20.05
09:49:58,KSS,Executed,S,6,0,20.7,L
09:49:58,KSS,Closed,S,6,6,20.7,L
09:50:23,CCL,Executed,B,23,0,14.36,L.TN
09:50:23,CCL,Closed,B,23,23,14.36,L
09:51:16,CCL,Canceled,S,16,0,0,SM:13.79
09:52:22,ERI,Triggered,B,4,0,21.99,L
09:52:22,ERI,Rejected,B,4,0,21.99,L.TN
09:57:09,MGM,Executed,B,12,0,16.25,L
09:57:09,MGM,Closed,B,12,12,16.25,L
09:58:27,CCL,Triggered,S,67,0,13.85,SL:14.15
09:58:27,CCL,Executed,S,67,0,13.85,L
09:58:27,CCL,Closed,S,67,67,13.85,L
09:58:33,MGM,Triggered,S,12,0,0,SM:16.08
09:58:33,MGM,Executed,S,12,0,16.08,M
09:58:33,MGM,Closed,S,12,12,16.08,M
10:00:09,KSS,Triggered,S,6,0,19.79,SL:20.09
10:00:09,KSS,Executed,S,6,0,19.79,L
10:00:09,KSS,Closed,S,6,6,19.79,L
10:00:38,KSS,Canceled,B,27,0,20.19,L
10:06:21,NCLH,Executed,B,33,0,12.51,L
10:06:21,NCLH,Closed,B,33,33,12.51,L
10:06:40,OXY,Executed,SS,57,0,14.93,L
10:06:40,OXY,Closed,SS,57,57,14.93,L
10:13:36,NCLH,Executed,S,16,0,12.53,L
10:13:36,NCLH,Closed,S,16,16,12.53,L
10:13:36,NCLH,Canceled,S,33,0,0,SM:12.35
10:14:57,NCLH,Executed,B,25,0,12.6,L
10:14:57,NCLH,Closed,B,25,25,12.6,L
10:17:29,OXY,Canceled,B,57,0,0,SM:15.01
10:17:30,OXY,Executed,B,57,0,14.99,L
10:17:30,OXY,Closed,B,57,57,14.99,L
10:19:52,NCLH,Canceled,S,42,0,0,SM:12.51
10:20:14,NCLH,Executed,S,21,0,12.58,L
10:20:14,NCLH,Closed,S,21,21,12.58,L
10:24:02,NCLH,Triggered,S,21,0,12.24,SL:12.54
10:24:02,NCLH,Executed,S,21,0,12.24,L
10:24:02,NCLH,Closed,S,21,21,12.24,L
10:26:05,TSLA,Executed,B,1,0,771.31,L
10:26:05,TSLA,Closed,B,1,1,771.31,L
10:29:35,TSLA,Triggered,S,1,0,0,SM:768.64
10:29:35,TSLA,Executed,S,1,0,768.56,M
10:29:35,TSLA,Closed,S,1,1,768.56,M
10:30:40,TSLA,Executed,B,1,0,773.45,L
10:30:40,TSLA,Closed,B,1,1,773.45,L
10:32:06,TSLA,Triggered,S,1,0,0,SM:771.32
10:32:06,TSLA,Executed,S,1,0,771.32,M
10:32:06,TSLA,Closed,S,1,1,771.32,M
,,,,,,,
